seq_no,school_id,census_no,name,address,tel,email,province,district,zone,division,medium,sex,government_type,school_category,grade_span,difficulty,total_students
4333,1003032,9383,ERUTHIDAL G.T.M.S,"NAVAPURAM, KAITHAFY EAST, KAITHADY",0778582201,school1003032@gmail.com,Northern,Jaffna,Thenmarachchi,Chavakachcheri,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Very Difficult,28
4334,1003033,9384,KAITHADY KALAIVANI VIDYALAYAM,"MANIPAY, ROAD KAITHADY WEST KAITHADY",0773076903,school1003033@gmail.com,Northern,Jaffna,Thenmarachchi,Chavakachcheri,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,52
4335,1003034,9385,KAITHADY SETHUKAVALAR VIDYALAAM,"KAITHADY CENTRE, KAITHADY",0771788673,school1003034@gmail.com,Northern,Jaffna,Thenmarachchi,Chavakachcheri,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Congenial,63
4336,1003036,9387,KALVAJAL SRI SHANMUGANANTHA VIDYALAYAM,KALVAJAL CHAVAKAQCHCHERI,0212271539,,Northern,Jaffna,Thenmarachchi,Chavakachcheri,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Congenial,131
4337,1003037,9388,KAITHADY NAVATKULI G.T.M.S,"KAITHADI NAVATKULI SOUTH , KAITHADI",,school1003037@gmail.com,Northern,Jaffna,Thenmarachchi,Chavakachcheri,Tamil,Mixed,Provincial,Type 2,Grade 1-11,Very Difficult,164
4338,1003038,9389,KARAMPAI A.M.T.M.S,"NAVATKADU, VARANI",0776569851,SCHOOL1013038@GMAIL.COM,Northern,Jaffna,Thenmarachchi,Chavakachcheri,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Difficult,43
4339,1003039,9390,KARAMPAIKKURICHCHI G.T.M.S,"KARAMPAIKKURICHCHI WEST , VARANY",,karampaikkurichchigtms@hotmail.com,Northern,Jaffna,Thenmarachchi,Chavakachcheri,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,99
4340,1003040,9391,KARAMPAKAM GOVERNMENT TAMIL MIXED SCHOOL,"KARAMPAKAM, MIRUSSUVIL",0771606534,school1003040@gmail.com,Northern,Jaffna,Thenmarachchi,Chavakachcheri,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Very Difficult,28
4341,1003041,9392,KETPELY G.T.M.S,"KETPELY WEST, MIRUSUVIL",0778998945,school1003041@gmail.com,Northern,Jaffna,Thenmarachchi,Chavakachcheri,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Difficult,61
4342,1003042,9393,KOVILAKANDY MAHALUXMY VIDYALAYAM,"KOVILAKANDY, KAITHADI",,schools1003042@gmail.com,Northern,Jaffna,Thenmarachchi,Chavakachcheri,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Difficult,33
4343,1003043,9394,KUDAMIYAN G.T.M.S,KUDAMIYAN VARANY,,school1003043@gmai.com,Northern,Jaffna,Thenmarachchi,Chavakachcheri,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,40
4344,1003044,9395,MADDUVIL NORTH G.T.M.S,"MADDUVIL NORTH, CHAVAKACHCHERI",0776048940,school1003044@gmail.com,Northern,Jaffna,Thenmarachchi,Chavakachcheri,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,63
4345,1003045,9396,MADDUVIL SANTHANAYAKI VIDYALAYAM,"MADDUVIL SOUTH, CHAVAKACHCHERI",,school1003045@gmail.com,Northern,Jaffna,Thenmarachchi,Chavakachcheri,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,31
4346,1003046,9397,MANTHUVIL R.C.T.M.S,"MANTHUVIL EAST, KODIKAMAM",0212271221,school1003046@gmail.com,Northern,Jaffna,Thenmarachchi,Chavakachcheri,Tamil,Mixed,Provincial,Type 2,Grade 1-11,Very Congenial,80
4347,1003048,9399,MEESALAI KAMALAMPIKAI VIDYALAYAM,"MEESALAI SOUTH, MEESALAI",0774104695,school1003048@gmail.com,Northern,Jaffna,Thenmarachchi,Chavakachcheri,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,27
4348,1003049,9400,NAVATKADU KANAPATHIPILLAI VIDYALAYAM,"VARANY IYATALAI, VARANY",,school1003049@gmail.com,Northern,Jaffna,Thenmarachchi,Chavakachcheri,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,26
4349,1003050,9401,NUNAVIL EAST AMIRTHAMPIKAI VIDYALAYAM,"NUNAVIL EAST, CHAVAKACHERI",0775362645,school1003050@gmail.com,Northern,Jaffna,Thenmarachchi,Chavakachcheri,Tamil,Mixed,Provincial,Type 3,Grade 1-8,Very Congenial,63
4350,1003052,9403,POKKADDY G.T.M.S,"POKKADDY, KODIKAMAM",0778125468,pokkaddygtms@gmail.com,Northern,Jaffna,Thenmarachchi,Chavakachcheri,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Difficult,87
4351,1003053,9404,POKKADDY R.C.T.M.S,MIRUSUVIL,,school1003053@gmail.com,Northern,Jaffna,Thenmarachchi,Chavakachcheri,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Difficult,46
4352,1003057,9408,MIRUSUVIL R.C.T.M.S,"KANDY ROAD, MIRUSUVIL",0212050128,school1003057@gmail.com,Northern,Jaffna,Thenmarachchi,Chavakachcheri,Tamil,Mixed,Provincial,Type 2,Grade 1-11,Congenial,65
4353,1003058,9409,CHAVAKACHCHERI SAKTHIYAMMAN,"KACHCHAI ROAD, CHAVAKACHCHERI",0775276772,school1003058@gmail.com,Northern,Jaffna,Thenmarachchi,Chavakachcheri,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Congenial,35
4354,1003059,9410,THANANKILAPPU G.T.M.S,THANANKILAPPU CHAVAKACHCHERI,,thanankilappugtms@yahoo.com,Northern,Jaffna,Thenmarachchi,Chavakachcheri,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Difficult,23
4355,1003060,9411,VARANY NORTH SAIVAPIRAKASA VIDYALAYAM,"VARANY NORTH, VARANY",,school1003060@gmail.com,Northern,Jaffna,Thenmarachchi,Chavakachcheri,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Difficult,44
4356,1003061,9412,VARANY NORTH G.T.M.S,VARANY,,school1003061@gmail.com,Northern,Jaffna,Thenmarachchi,Chavakachcheri,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Difficult,41
4357,1003063,9414,IYATTALAI A.M.T.M SCHOOL,"VARANY IYATTALAI, VARANY.",,iyattalaiamtms@yahoo.com,Northern,Jaffna,Thenmarachchi,Chavakachcheri,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Congenial,92
4358,1002001,9415,CANAGARATNAM MADYA MAHA VIDYALAYAM,"NAVALAR ROAD, ARIYALAI, JAFFNA",0212223456,cmmvjaffna@gmail.com,Northern,Jaffna,Jaffna,Nallur,Sinhala/ Tamil/ English,Mixed,Provincial,1AB,Grade 6-13,Very Congenial,624
4359,1002002,9416,JAFFNA HINDU COLLEGE,KKS ROAD JAFFNA,0212222431,principal@jhc.lk,Northern,Jaffna,Jaffna,Nallur,Sinhala/ Tamil/ English,Male,National,1AB,Grade 6-13,Congenial,2490
4360,1002003,9417,JAFFNA HINDU LADIES' COLLEGE,"ARASADY ROAD, KANTHARMADAM, JAFFNA",0212222346,jaffnahlc@gmail.com,Northern,Jaffna,Jaffna,Nallur,Sinhala/ Tamil/ English,Female,Provincial,1AB,Grade 6-13,Very Congenial,2428
4361,1002004,9418,KOKUVIL HINDU COLLEGE,K.K.S. ROAD KOKUVIL EAST KOKUVIL,0212222646,kokuvilhindu@yahoo.com,Northern,Jaffna,Jaffna,Nallur,Sinhala/ Tamil/ English,Mixed,Provincial,1AB,Grade 6-13,Congenial,2303
4362,1002005,9419,SENGUNTHA HINDU COLLEGE,"THIRUNELVELY EAST, JAFFNA.",0212229870,jshc.2009.lk@gmail.com,Northern,Jaffna,Jaffna,Nallur,Tamil,Mixed,Provincial,1C,Grade 6-13,Very Congenial,231
4363,1002006,9420,MUTHUTHAMBY MAHA VIDYALAYAM,KALASALAI ROAD THIRUNELVELY,0212212540,muthuthambymv2018@gmail.com,Northern,Jaffna,Jaffna,Nallur,Tamil,Mixed,Provincial,1C,Grade 1-13,Very Congenial,410
4364,1002007,9421,JAFFNA HINDU LADIES;PRIMARY SCHOOL,ARASADY ROAD KANTHAIRMADAM JAFFNA,0212227830,,Northern,Jaffna,Jaffna,Nallur,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Congenial,526
4365,1002008,9422,ARIYALAI SRIPARWATHY VIDYASALAI,KANDY ROAD ARIYALAI JAFFNA,0212211046,sriparwathyvidyasalai@gmail.com,Northern,Jaffna,Jaffna,Nallur,Tamil,Mixed,Provincial,Type 2,Grade 1-11,Congenial,198
4366,1002009,9423,KANTHARMADAM SAIVAPRAGASA VID,ARASADY ROAD KANTHARMADAM JAFFNA,0212216052,,Northern,Jaffna,Jaffna,Nallur,Tamil,Mixed,Provincial,Type 2,Grade 1-11,Congenial,33
4367,1002010,9424,KOKUVIL RAMAKRISHNA VID,KOKUVIL EAST KOKUVIL,0212052444,,Northern,Jaffna,Jaffna,Nallur,Tamil,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,129
4368,1002011,9425,KOKUVIL EAST NAMAGAL VIDYALAYAM,POTPATHY VEETHY KOKUVIL EAST KOKUVIL,0212212032,kokuvilnamagalvid@gmail.com,Northern,Jaffna,Jaffna,Nallur,Tamil,Mixed,Provincial,Type 2,Grade 1-11,Congenial,63
4369,1002012,9426,KOKUVIL SRI GNANAPANDITHA VIDYASALAI,ADIYAPATHAM ROAD KOKUVIL WEST KOKUVIL,0212052091,kokuvil gnanapanditha vid @gmail.com,Northern,Jaffna,Jaffna,Nallur,Tamil,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,148
4370,1002013,9427,KONDAVIL HINDU COLLEGE,STATION ROAD KONDAVIL WEST KONDAVIL,0212227641,khmvmail@gmail.com,Northern,Jaffna,Jaffna,Nallur,Sinhala/ Tamil/ English,Mixed,Provincial,1AB,Grade 1-13,Very Congenial,297
4371,1002014,9428,KONDAVIL RAMAKRISHNA MAHA VIDYALAYAM,KONDAVIL EAST KONDAVIL,0212053949,JKRKMVEGMAIL.COM,Northern,Jaffna,Jaffna,Nallur,Tamil,Mixed,Provincial,1C,Grade 1-13,Very Congenial,452
4372,1002015,9429,NALLUR HINDU TAMIL GIRLS SCHOOL,TEMPLE ROAD NALLUR JAFFNA,0212215885,,Northern,Jaffna,Jaffna,Nallur,Tamil,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,120
4373,1002016,9430,J NALLUR STATION C C T M SCHOOL,CHEMMANY ROAD NALLUR JAFFNA,,,Northern,Jaffna,Jaffna,Nallur,Tamil,Mixed,Provincial,Type 2,Grade 1-11,Congenial,73
4374,1002017,9431,JNAYANMARKADDU MAHESWARY VIDYASALAI,NAYANMARKADDU JAFFNA,0212054081,,Northern,Jaffna,Jaffna,Nallur,Tamil,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,82
4375,1002018,9432,PERIYAPULAM M.V,K.K.S.ROAD JAFFNA,0212223446,jpmv09432@gmail.com,Northern,Jaffna,Jaffna,Nallur,Tamil,Mixed,Provincial,1C,Grade 1-13,Very Congenial,404
4376,1002019,9433,UYARAPULAM . M.M.T.M.VIDYALAYAM,"UYARRAPULAM, ANNAIKODDAI",0212213535,uyarapulammmtms@yahoo.com,Northern,Jaffna,Jaffna,Nallur,Tamil,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,201
4377,1002020,9434,ANAIPANTHY METHODIST MISSION VIDYALAYAM,"NAVALAR ROAD, ANAIPANTHY",0212226564,,Northern,Jaffna,Jaffna,Nallur,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Congenial,322
4378,1002021,9435,JARIYALAI EAST GOVT TAMIL MIXED SCHOOL,ARIYALAI EAST ARIYALAI,,,Northern,Jaffna,Jaffna,Nallur,Tamil,Mixed,Provincial,Type 3,Grade 1-8,Very Difficult,11
4379,1002022,9436,J CHEDDITHERU METHODIST MISSION TAMIL MIXED SCHOOL,KILANNER LANE JAFFNA,0212215732,,Northern,Jaffna,Jaffna,Nallur,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Congenial,180
4380,1002023,9437,NALLUR ANANDA VIDYALAYAM,"75, ASEERVATHAPPAR ROAD, ARIYALAI WEST JAFFNA",0779581595,,Northern,Jaffna,Jaffna,Nallur,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Congenial,1
4381,1002024,9438,KALADDY M.M.T.M.SCHOOL,"SIR PON RAMANATHAN ROAD, JAFFNA",,jkmmtms@gmail.com,Northern,Jaffna,Jaffna,Nallur,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,19
4382,1002025,9439,KALVIYANKADU HINDU TAMIL MIXED SCHOOL,"POINTPEDRO ROAD, KALVIYANKADU",0212231884,,Northern,Jaffna,Jaffna,Nallur,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,205
4383,1002026,9440,KOKUVIL STATION C.C.T.M.S,K.K.S ROAD KOKUVIL,0212053525,jkcctms@gmail.com,Northern,Jaffna,Jaffna,Nallur,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,86
4384,1002027,9441,KOKUVIL WEST C.C.T.M SCHOOL,KULAPPIDDY VEETHY KOKUVIL WEST KOKUVIL JAFFNA,0779943939,,Northern,Jaffna,Jaffna,Nallur,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,46
4385,1002028,9442,KONDAVIL C.C.T.M SCHOOL,"STATION ROAD, KONDAVIL",,,Northern,Jaffna,Jaffna,Nallur,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Congenial,107
4386,1002029,9443,KONDAVIL PARANCHSOTHY VIDIYALAYAM,KONDAVIL NORTH KONDAVIL,0212054690,paranchsothy_vid@hotmail.com,Northern,Jaffna,Jaffna,Nallur,Tamil,Mixed,Provincial,Type 2,Grade 1-11,Congenial,124
4387,1002030,9444,KONDAVIL ROMAN CATHOLIC TAMIL MIXED SCHOOL,ST SEBESTIAR ROAD KONDAVIL ESAT KONDAVIL,,,Northern,Jaffna,Jaffna,Nallur,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Congenial,26
4388,1002032,9446,J\NALLUR KASIPPILLAI VIDHJALAYAM,"RAJA VEETHY, NALLUR, JAFFNA",0776184333,nallurkasippillaividyalayam @,Northern,Jaffna,Jaffna,Nallur,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Very Congenial,77
4389,1002033,9447,NALLUR ST.BENEDICT'S R.C VIDYALAYAM,KACHCHERI NALLUR ROAD JAFFNA,0212220367,nallurbenedict@gmail.com,Northern,Jaffna,Jaffna,Nallur,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,383
4390,1002034,9448,ELAYATHAMBY HINDU VIDYALAYAM,"MATHADY LANE VANNARPONNAI, JAFFNA",0212219360,,Northern,Jaffna,Jaffna,Nallur,Tamil,Mixed,Provincial,Type 2,Grade 1-11,Congenial,59
4391,1002035,9449,THIRUNELVELY R.C.T.M.SCHOOL,THIRUNELVELY EAST THIRUNELVELY,,,Northern,Jaffna,Jaffna,Nallur,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Congenial,58
4392,1002036,9450,PARAMESHWARA VID,THIRUNELVELY,0212223565,,Northern,Jaffna,Jaffna,Nallur,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Congenial,105
4393,1002037,9451,VAN SRI VAITHILINGAM VIDYALAYAM,MANIPPAI ROAD ARUKALMADADAM,0770381877,,Northern,Jaffna,Jaffna,Nallur,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,62
4394,1002038,9452,JAFFNAHINDU PRIMARY SCHOOL,"224, KASTHURIYAR ROAD JAFFNA",0212222119,j100jhp@gmail.com,Northern,Jaffna,Jaffna,Nallur,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Congenial,1251
4395,1002039,9453,KOKUVIL HINDU PRIMARY SCHOOL,KOKUVIL EAST KOKUVIL,0212220681,jkhps1976@gmail.com,Northern,Jaffna,Jaffna,Nallur,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,1011
4396,1002040,9454,JPOOMPUGAR GOVERMENT TAMIL MIXD SCHOOL,ARIYALAI EAST JAFFNA,,,Northern,Jaffna,Jaffna,Nallur,Tamil,Mixed,Provincial,Type 2,Grade 1-11,Difficult,51
4397,1001001,9455,JCOLUMBUTHURAI HINDU MAHA VIDYALAYAM,COLUMBUTHURAI ROAD JAFFNA,0212226230,columbuthuraihindu@gmail.com,Northern,Jaffna,Jaffna,Jaffna,Tamil,Mixed,Provincial,1C,Grade 1-13,Very Congenial,401
4398,1001002,9456,JAFFNA CENTRAL COLLEGE,JAFFNA,0212222184,jcentralprin@gmail.com,Northern,Jaffna,Jaffna,Jaffna,Sinhala/ Tamil/ English,Male,National,1AB,Grade 1-13,Congenial,1922
4399,1001003,9457,HOLY FAMILY CONVENT,"VEMBADY ROAD, JAFFNA",0212222455,jaffnahfc@yahoo.com,Northern,Jaffna,Jaffna,Jaffna,Sinhala/ Tamil/ English,Female,National,1AB,Grade 1-13,Congenial,1756
4400,1001024,9459,KADEJA LADIES COLLEGE,MUSLIM COLLEGE ROAD JAFFNA,0212216943,kadeejaladies2015@gmail.com,Northern,Jaffna,Jaffna,Jaffna,Tamil,Female,Provincial,Type 2,Grade 6-11,Not Congenial,105
4401,1001025,9460,OSMANIYA COLLEGE,"MUSLIM COLLEGE ROAD, JAFFNA",0212214049,osmaniyacollege1963@gmail.com,Northern,Jaffna,Jaffna,Jaffna,Tamil,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,341
4402,1001005,9461,SANMARKKA MAHA VIDYALAYAM,CLOCK TOWER ROAD JAFFNA,0212217604,jaffnasmv@gmail.com,Northern,Jaffna,Jaffna,Jaffna,Tamil,Mixed,Provincial,1C,Grade 1-13,Congenial,94
4403,1001006,9462,ST.CHARLES'MAHA VIDYALAYAM,"MAINSTREET, JAFFNA",0212229037,jstcmv1876@gmail.com,Northern,Jaffna,Jaffna,Jaffna,Tamil,Mixed,Provincial,1C,Grade 1-13,Very Congenial,347
4404,1001007,9463,ST JAMES MAHA VDYALAYAM,GURUNAGAR JAFFNA,0212226947,,Northern,Jaffna,Jaffna,Jaffna,Tamil,Male,Provincial,Type 2,Grade 1-11,Very Congenial,187
4405,1001008,9464,VAIDYESHWARA COLLEGE,"SIVAN NORTH STREET, JAFFNA",0212223322,vaidyeshwara.college@gmail.com,Northern,Jaffna,Jaffna,Jaffna,Tamil,Mixed,Provincial,1AB,Grade 6-13,Congenial,314
4406,1001009,9465,VEMBAD GIRLS HIGH SCHOOL,"1ST CROSS STREET, JAFFNA",0212222187,vembadi_jaffna@yahoo.com,Northern,Jaffna,Jaffna,Jaffna,Sinhala/ Tamil/ English,Female,National,1AB,Grade 6-13,Very Congenial,2427
4407,1001010,9466,ST JOSEPHS VIDYALAYAM,SWAMIAR ROAD COLUMBUTHURAI JAFFNA,0212220668,,Northern,Jaffna,Jaffna,Jaffna,Tamil,Male,Provincial,Type 2,Grade 1-11,Congenial,92
4408,1001011,9467,COLUMBUTHURAI THURAIYAPPAH VIDIYALAYAM,"3RD CROSS STREET, COLOMBAGAM, JAFFNA",0212051084,col-thuraiyappah@yahoo.com,Northern,Jaffna,Jaffna,Jaffna,Tamil,Mixed,Provincial,Type 2,Grade 1-11,Congenial,165
4409,1001012,9468,KODDADY NAMASIVAYA VIDYALAYAM,HOSPITAL ROAD JAFFNA,0212220283,koddadynamasivayam@gmail.com,Northern,Jaffna,Jaffna,Jaffna,Tamil,Mixed,Provincial,Type 2,Grade 1-11,Congenial,324
4410,1001013,9469,NALLUR SOUTH SRI VIGNESWARA VIDYALAYAM,KACHCHRI NALLUR ROAD JAFFNA,0212219729,nssvvidyalayam@gmail.com,Northern,Jaffna,Jaffna,Jaffna,Tamil,Mixed,Provincial,Type 2,Grade 1-11,Very Congenial,69
4411,1001014,9470,NAVANTHURAI R.C VIDYALAYAM,NAVALAR ROAD NAVANTHURAI JAFFNA,0212228762,navanturairc@yahoo.com,Northern,Jaffna,Jaffna,Jaffna,Tamil,Mixed,Provincial,Type 2,Grade 1-11,Congenial,489
4412,1001015,9471,JPASSAIYOORSTANTONYSRCGIRLSVIDYALAYAM,PASSAIYOORJAFFNA,0212217814,,Northern,Jaffna,Jaffna,Jaffna,Tamil,Female,Provincial,1C,Grade 1-13,Congenial,194
4413,1001016,9472,ST JAMES GIRLS SCHOOL,MAIN STREET JAFFNA,0212223422,stjamesgirls.sch@gmail.com,Northern,Jaffna,Jaffna,Jaffna,Tamil,Female,Provincial,1C,Grade 1-13,Not Congenial,529
4414,1001017,9473,ST MARYS R C T M S,FOURTH CROSS STREET JAFFNA,0212217605,,Northern,Jaffna,Jaffna,Jaffna,Tamil,Mixed,Provincial,Type 2,Grade 1-11,Very Congenial,192
4415,1001019,9475,ST.JOHN BOSCO'S VIDYALAYAM,RACCA ROAD.JAFFNA,0212222540,sjb2540@gmail.com,Northern,Jaffna,Jaffna,Jaffna,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Very Congenial,1154
4416,1001020,9476,ST.ROCHE'S R.C VIDYALAYAM,"BEACH ROAD, THURUNAGAR, JAFFNA",0212220953,strochesrcv@gmail.com,Northern,Jaffna,Jaffna,Jaffna,Tamil,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,174
4417,1001023,9481,VANNAI NAVALAR MAHA VIDYALAYAM,NAVALAR ROAD VANNARPANNAI JAFFNA,0212226997,vannavalar1848@gmail.com,Northern,Jaffna,Jaffna,Jaffna,Tamil,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,133
4418,1008032,9482,VADAMARADCHY CENTRAL LADIES' COLLEGE,"VATHIRY, KARAVEDDY",0212264688,vadaclc@live.com,Northern,Jaffna,Vadamarachchi,Karaveddy,Sinhala/ Tamil/ English,Female,Provincial,1AB,Grade 6-13,Very Congenial,645
4419,1003064,9485,CHAVAKACHCHERI HINDU PRIMARY SCHOOL,"THAMOTHARAMPILLAI ROAD, CHAVAKACHCHERI",0212270844,gmail.com3064,Northern,Jaffna,Thenmarachchi,Chavakachcheri,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Very Congenial,522
4420,1003065,9486,KODIKAMAM GOVERNMENT VIDYALAYAM,"KANDY ROAD, KODIKAMAM",0774189469,school1003065@gmail.com,Northern,Jaffna,Thenmarachchi,Chavakachcheri,Tamil,Mixed,Provincial,Type 2,Grade 1-11,Congenial,103
4421,1008033,9493,VIGNESWARA PRIMARY SCHOOL,"KARAVEDDY SOUTH, KARAVEDDY",,,Northern,Jaffna,Vadamarachchi,Karaveddy,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Congenial,80
4422,1010034,9494,SKANDAVARODAYA PRIMARY SCHOOL,KANTHARODAI CHUNNAKAM,,,Northern,Jaffna,Valikamam,Uduvil,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Congenial,304
4423,1009044,9495,J SRISOMASKANTHA HINDU PRIMARY SCHOOL,PUTTUR WEST PUTTUR,0212058919,putturhinduprimary@gmail.com,Northern,Jaffna,Jaffna,Kopay,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Difficult,435
4424,1006020,9496,UDUTHURAI HINDU PRIMARY SCHOOL,"UDUTHURAI, THALAYADY",,,Northern,Jaffna,Vadamarachchi,Maruthankerny,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Very Difficult,182
4425,1003069,9497,KODIKAMAM THIRUNAVUKKARASU PRIMARY SCHOOL,KACHCHAI ROAD KODIKAMAM,,school1003069@gmail.com,Northern,Jaffna,Thenmarachchi,Chavakachcheri,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,289
4426,1007034,9498,VADAMARADCHY HINDU PRIMARY SCHOOL,POINTPEDRO,0212260199,vadahinduprimary@gmail.com,Northern,Jaffna,Vadamarachchi,Point Pedro,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Congenial,312
4427,1015015,9499,SUBRAMANIYA VIDYASALAI,KARAINAGAR,0776618081,,Northern,Jaffna,Islands,Karainagar,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,98
4428,1009045,9500,ATCHUVELY PRIMARY SCHOOL,ATCHUVELY NORTH ATCHUVELY,0212058514,Atchuvely primary school,Northern,Jaffna,Jaffna,Kopay,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Congenial,301
4429,1003068,9501,MEESALAIVEERASINGAMPRIMARY VIDYALAYAM,MEESALAI NORTH MEESALAI,0776624488,school1003068@gmail.com,Northern,Jaffna,Thenmarachchi,Chavakachcheri,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Congenial,451
4430,1011033,9502,VALI/THAVALAI SAIVATHTHAMIL VIDYALAYAM,VADDU EAST VADDUKODDAI,,,Northern,Jaffna,Valikamam,Chankanai,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Congenial,49
4431,1011034,9503,VALI/CHANKANI SIVAPRAGASA HINDU PRIMARY SCHOOL,"HOSPITAL ROAD, CHANKANI",,,Northern,Jaffna,Valikamam,Chankanai,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,157
4432,1007035,9504,PUNITHANAGAR TAMIL VIDYALAYAM,"PUNITHANAGAR, POINT PEDRO",0213201094,,Northern,Jaffna,Vadamarachchi,Point Pedro,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,77
4433,1101045,10001,KILINOCHCHI MADHYA MAHA VIDYALAYAM,"A9 ROAD, ANANTHAPURAM, KILINOCHCHI",0212285115,info@knkcc.com,Northern,Kilinochchi,Kilinochchi,Karachchi,Tamil,Mixed,National,1AB,Grade 6-13,Very Congenial,1553
4434,1101002,10002,KILINOCHCHI HINDU COLLEGE,"07, JEYANTHINAGAR KILINOCHCHI",0213208202,kilihindu@gmail.com,Northern,Kilinochchi,Kilinochchi,Karachchi,Sinhala/ Tamil/ English,Mixed,Provincial,1AB,Grade 6-13,Difficult,956
4435,1101003,10003,ST.THERESA'S GIRLS' COLLEGE,"KARADIPPOKKU, KILINOCHCHI",0212280081,KN.ST.THERESA@HOTMAIL.COM,Northern,Kilinochchi,Kilinochchi,Karachchi,Sinhala/ Tamil/ English,Girls Schools with boys in Primary or A/L,Provincial,1AB,Grade 1-13,Congenial,858
4436,1101046,10004,KN VADDAKKACHCHI CENTRAL COLLEGE,"VADDAKKACHCHI, KILINOCHCHI",0212060320,kilivcc@gmail.com,Northern,Kilinochchi,Kilinochchi,Karachchi,Sinhala/ Tamil/ English,Mixed,Provincial,1AB,Grade 6-13,Difficult,626
4437,1101005,10005,RAMANATHAPURAM M.V.,RAMANATHAPURAM KILINOCHCHI,0212060690,rmv56@gmail.com,Northern,Kilinochchi,Kilinochchi,Karachchi,Tamil,Mixed,Provincial,1C,Grade 1-13,Difficult,805
4438,1101006,10006,AKKARAYAN MAHA VIDYALAYAM,AKKARAYANKULAM KILINOCHCHI,0213208210,KNAKKARAYANMV@GMAIL.COM,Northern,Kilinochchi,Kilinochchi,Karachchi,Tamil,Mixed,Provincial,1AB,Grade 6-13,Very Difficult,698
4439,1101007,10007,URUTHIRAPURAM MAHA VIDYALAYAM,URUTHIRAPURAM KILLINOCHCHI,0213208211,uruthirapurammahavidyalam@gmail.com,Northern,Kilinochchi,Kilinochchi,Karachchi,Tamil,Mixed,Provincial,1C,Grade 1-13,Very Difficult,443
